control_period,penalty,parameters_idx,deficit_cost,total_leaching_gN_per_m2,violated
3.0,0.20126710688876742,0.0,0.0012396473684732543,0.00641750199147234,1.0
3.0,0.20126710688876742,1.0,0.0007590838151281076,0.04022902389647142,1.0
3.0,0.20126710688876742,2.0,0.0009341721575849461,0.003668555900541419,1.0
3.0,0.20126710688876742,3.0,0.00014516537427909738,0.0011937554985099325,1.0
3.0,0.20126710688876742,4.0,0.0007135678138564743,0.004615387697328794,1.0
3.0,0.20126710688876742,5.0,0.0006532212519375478,0.004091963221566162,1.0
3.0,0.20126710688876742,6.0,0.0022672596030192723,0.0,0.0
3.0,0.20126710688876742,7.0,0.009781680772672288,0.0,0.0
3.0,0.20126710688876742,8.0,0.0,0.0072765313994321195,1.0
3.0,0.20126710688876742,9.0,0.0012760395693199433,0.0006355670617340274,1.0
3.0,0.20126710688876742,10.0,0.000618316958904412,0.037723439748205176,1.0
3.0,0.20126710688876742,11.0,0.0005485117490831239,0.30072434597492725,1.0
3.0,0.20126710688876742,12.0,0.007102598252930513,0.0,0.0
3.0,0.20126710688876742,13.0,0.004514668125058774,0.0,0.0
3.0,0.20126710688876742,14.0,0.00024403191719585602,0.013388404701686122,1.0
3.0,0.20126710688876742,15.0,0.0045271132384156285,0.0,0.0
3.0,0.20126710688876742,16.0,0.01261764420405364,3.398418754387263e-08,0.0
3.0,0.20126710688876742,17.0,0.0,0.003467203062562397,1.0
3.0,0.20126710688876742,18.0,0.00454546487815638,4.1285499376266916e-05,0.0
3.0,0.20126710688876742,19.0,0.0017434497117512382,0.0006982477725148685,1.0
3.0,0.20126710688876742,20.0,0.00027364136444360965,0.755823025943582,1.0
3.0,0.20126710688876742,21.0,0.004329669615163987,4.000281984162506e-06,0.0
3.0,0.20126710688876742,22.0,0.0044165127633214625,0.0,0.0
3.0,0.20126710688876742,23.0,0.0022338246684894337,0.0006356574189878676,1.0
3.0,0.20126710688876742,24.0,0.004011522069014433,0.00029061148197134426,0.0
3.0,0.20126710688876742,25.0,0.003913404274405741,0.031403847840130256,0.0
3.0,0.20126710688876742,26.0,0.0038186200434971586,0.000151619684700275,0.0
3.0,0.20126710688876742,27.0,0.00046618631038419144,0.07258855578331229,1.0
3.0,0.20126710688876742,28.0,0.003377590561850978,1.8918445643865287,1.0
3.0,0.20126710688876742,29.0,9.202749945936627e-05,0.008176739361990145,1.0
3.0,0.20126710688876742,30.0,0.00032987749423314346,3.498181655952584e-05,1.0
3.0,0.20126710688876742,31.0,0.0006892384135138115,0.01311135040638694,1.0
3.0,0.20126710688876742,32.0,0.0006939167014345866,0.0002874595767917478,1.0
3.0,0.20126710688876742,33.0,4.144608853547935e-05,0.012083392564660816,1.0
3.0,0.20126710688876742,34.0,0.001259395752268256,1.7596415101515421,1.0
3.0,0.20126710688876742,35.0,0.003887995892464643,0.0012490383412356021,0.0
3.0,0.20126710688876742,36.0,0.009640409902047377,0.002375582594003865,0.0
3.0,0.20126710688876742,37.0,0.000622298742403005,0.0016679698201068714,1.0
3.0,0.20126710688876742,38.0,0.0041510032793983555,0.03478789256139068,1.0
3.0,0.20126710688876742,39.0,0.00013820936915487215,0.11206460973559398,1.0
3.0,0.20126710688876742,40.0,0.00954583460426666,0.004206685515414508,0.0
3.0,0.20126710688876742,41.0,0.006998838126307767,0.0,0.0
3.0,0.20126710688876742,42.0,0.0006606040103223782,0.008581772896803293,1.0
3.0,0.20126710688876742,43.0,0.007247696478099355,0.019056611687580365,0.0
3.0,0.20126710688876742,44.0,4.290722618948937e-05,5.507482949321184,1.0
3.0,0.20126710688876742,45.0,0.01056905247224676,0.0,0.0
3.0,0.20126710688876742,46.0,0.0023362441053563195,0.0,0.0
3.0,0.20126710688876742,47.0,0.0005645520064643192,0.673296519684512,1.0
3.0,0.20126710688876742,48.0,0.0006592700047897216,0.0004309511822081946,1.0
3.0,0.20126710688876742,49.0,0.013929618887463795,0.0046526703702629525,0.0
3.0,0.20126710688876742,50.0,0.0006976982730340489,0.20755096512352608,1.0
3.0,0.20126710688876742,51.0,0.0012048344003866079,0.512222266520504,1.0
